Year,venue,team1,team2,toss_winner,toss_decision,head to head ratio team1 ,head to head ratio team2,1st iining win,2 nd inning win,winner,,,HISTORICAL TOSS DECISION WIN,
2018,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,bat,,,,,Sunrisers Hyderabad,,,,
2018,"Wankhede Stadium, Mumbai",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,,,,,Mumbai Indians,,,,
2018,Holkar Cricket Stadium,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,,,,,Kings XI Punjab,,,,
2018,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,,,,,Sunrisers Hyderabad,,,,
2018,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,bat,,,,,Rajasthan Royals,,,,
2018,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,,,,,Mumbai Indians,,,,
2018,Feroz Shah Kotla,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,,,,,Sunrisers Hyderabad,,,,
2018,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,,,,,Rajasthan Royals,,,,
2018,Holkar Cricket Stadium,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,field,,,,,Kolkata Knight Riders,,,,
2018,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,,,,,Royal Challengers Bangalore,,,,
2018,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,,,,,Chennai Super Kings,,,,
2018,"Wankhede Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,,,,,Rajasthan Royals,,,,
2018,Holkar Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,,,,,Royal Challengers Bangalore,,,,
2018,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,,,,,Kolkata Knight Riders,,,,
2018,"Wankhede Stadium, Mumbai",Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,,,,,Mumbai Indians,,,,
